Client ID,Name,Legal Name,Start Date,Street #,Street Name,State,Zip,Lat,Lon,Accuracy,Category
2.01211E+11,Avalon Fuel,Avalon Fuel Company,10/26/12,901,Ohio River Blvd,PA,15202,40.495759,-80.066508,9,Convenience Store
2.01511E+11,Ez Energy #303/7Eleven #36183H,Neelkanth Ansh Enterprises Inc,10/26/15,209,Ohio River Blvd,PA,15143,40.545418,-80.194152,9,Convenience Store
2.01212E+11,EZ Energy #311 / 7 Eleven #36191H,7 Eleven Inc,12/3/12,8136,Ohio River Blvd,PA,15202,40.510522,-80.094268,9,Convenience Store
2.01211E+11,Getgo #3646 / Crafton - Ingram,Giant Eagle Inc,11/15/12,280,Crafton Ingram Shopping circle,PA,15205,41.203322,-77.194525,3,Convenience Store
53583,Mt NeBlvd Texaco,Mt NeBlvd Texaco,6/2/95,1706,Mt Nebo Rd,PA,15143,40.553281,-80.109158,8,Convenience Store
2.01304E+11,Radokovic Marathon,Radokovic Enterprises LlC,4/16/13,1826,Lincoln Highway,PA,15137,40.367923,-79.780429,9,Convenience Store
2.00002E+11,Sunoco #7544,Sunoco Inc R&M,2/2/00,1201,Airport Blvdulevard,PA,15231,40.494177,-80.267208,9,Convenience Store
52845,Sunoco A Plus Mini Market #8154,,10/25/94,5204,Interbo Ave,PA,15207,40.370214,-79.913195,9,Convenience Store
2.0131E+11,Plow & Hearth,Plow & Hearth LLC,9/25/13,1710,Settlers Ridge Center Dr,PA,15205,40.440641,-80.149132,5,Convenience Store
43192,S & R Market,Mac's Convenience Stores LLC,1/11/88,4915,2nd Ave,PA,15207,40.529076,-80.025577,5,Convenience Store
2.01301E+11,EZ Energy #307 / 7 Eleven #36187H,7 Eleven Inc,12/11/12,4630,Wm Flynn Highway,PA,15101,40.590622,-79.948086,8,Convenience Store
2.01203E+11,Mega Deli,Jay Shakti LLC,3/8/12,995,Greensburg Pike,PA,15112,40.416874,-79.839453,8,Convenience Store
2.01211E+11,Sheetz #500,Sheetz Inc,11/7/12,1910,Mt Nebo Rd,PA,15143,40.552928,-80.115508,8,Convenience Store
2.0121E+11,7 Eleven #35968H,7-Eleven Inc,9/18/12,525,Perry Highway,PA,15229,40.396638,-77.026583,8,Convenience Store
2.00912E+11,7 Eleven #36143A,,11/17/09,601,Penn Av,PA,15222,40.442813,-80.001884,8,Convenience Store
2.00607E+11,A & E Deli Food Mart,,7/14/06,105,Brownsville Rd,PA,15210,40.41739,-79.986525,8,Convenience Store
35752,Al's Market,,6/17/84,24,Braddock Ave,PA,15104,40.407271,-79.875462,8,Convenience Store
31340,Alstan Mini Mart,Khalid Ajmal & Saba Raees,1/1/83,2516,Monroeville Blvd,PA,15146,40.426703,-79.788569,8,Convenience Store
2.0001E+11,American Joe's,,10/18/00,2105,Walnut St,PA,15132,40.340154,-79.859937,8,Convenience Store
2.01209E+11,American Natural,Desdemona Holdings LP,8/23/12,73,Carson St,PA,15219,40.430917,-80.001402,8,Convenience Store
2.01103E+11,Avalon Mart,,3/15/11,632,California Av,PA,15202,40.501336,-80.067941,8,Convenience Store
2.0031E+11,AW Food Express / Sunoco,AW Food Express Inc,10/9/03,1001,Pikettsburgh St,PA,15024,40.540809,-79.807543,8,Convenience Store
2.00809E+11,Bett's Market,,9/8/08,819,Brushton Ave,PA,15208,40.455264,-79.888216,8,Convenience Store
2.01404E+11,Cash & Carry,Cash & Carry Gas Inc,4/9/14,1021,Perry Hwy,PA,15237,40.540405,-80.036133,8,Convenience Store
2.01302E+11,Cash & Carry Convenience Store,5 Rivers Inc,2/14/13,7920,Saltsburg Rd,PA,15239,40.477508,-79.75943,8,Convenience Store
2.01307E+11,Clairton Mini Mart,Asn United Inc,6/28/13,672,Miller Av,PA,15025,40.290634,-79.883992,8,Convenience Store
2.01602E+11,Clairton Mini-Mart,,1/25/16,540,St Clair Ave,PA,15025,40.293214,-79.88689,8,Convenience Store
2.01209E+11,Co Go's #1780,Shree Sitaram Enterprise Inc,9/5/12,3402,Main St,PA,15120,40.386385,-79.902763,8,Convenience Store
2316,Co Go's #346,Co Go's,1/1/80,3439,West Run Rd,PA,15120,40.38845,-79.90976,8,Convenience Store
37867,Co Go's #805,Co Go's,5/17/84,4071,Beechwood Blvd,PA,15217,40.427102,-79.938593,8,Convenience Store
55302,Co Go's #820,Co Go's,7/2/96,2880,Brownsville Rd Ext,PA,15129,40.279791,-80.001782,8,Convenience Store
2.01303E+11,CR Petroleum,CR Petroleum LLC,3/5/13,101,Mile Lock La,PA,15014,47.15441,-2.172958,8,Convenience Store
1008,De Carlo Fruit Market,,1/1/80,560,Mckeesport Rd,PA,15037,40.276563,-79.878044,8,Convenience Store
56405,Edgewood Avenue Express,,5/1/97,253,Edgewood Ave,PA,15218,40.430663,-79.884352,8,Convenience Store
2.00904E+11,Edna's Market & Deli @ Northview Heights,New Bread Development Inc,4/1/09,529,Mt Pleasant Rd,PA,15214,40.478135,-80.000449,8,Convenience Store
2.01403E+11,Everest Food,,3/15/14,308,Curry Hollow Rd,PA,15236,40.336174,-79.972625,8,Convenience Store
2.01509E+11,Express Mini Mart,Express Mini Mart Inc,9/23/15,3518,Brownsville Rd,PA,15227,40.374467,-79.975539,8,Convenience Store
2.00809E+11,Fa's Market,,9/4/08,623,Jones Ave,PA,15104,40.404138,-79.861887,8,Convenience Store
2.01002E+11,Fuel On # 25,3 Man Inc,2/10/10,5724,Ellsworth Av,PA,15232,40.455308,-79.931608,8,Convenience Store
2.0121E+11,Fueland,JP Petroleum Co,8/28/12,921,Brodhead Rd,PA,15108,40.518217,-80.222543,8,Convenience Store
2.01307E+11,Fueland #220,Delta A & W Inc,7/9/13,710,Brown Av,PA,15145,40.427276,-79.836019,8,Convenience Store
2.00407E+11,GetGo #3108,Giant Eagle Inc,7/9/04,10525,Frankstown Rd,PA,15235,40.457119,-79.877698,8,Convenience Store
45203,GetGo #3109,Giant Eagle Inc,2/16/84,436,Lincoln Hwy East,PA,15035,40.380961,-79.8115,8,Convenience Store
2.00706E+11,Glassmere Food Mart #252,Glassmere Fuel Service Inc,6/20/07,3001,Freeport Rd,PA,15144,40.595044,-79.76881,8,Convenience Store
2.01001E+11,Homestead Food Mart,Om Shiva Group Inc,1/1/10,238,8th Av,PA,15120,40.407623,-79.909613,8,Convenience Store
57337,Honey Bear / Spee-D Mart,Graft Oil Co / OCI Inc,5/6/98,209,3rd Street,PA,15034,40.349519,-79.891481,8,Convenience Store
2.01502E+11,International Food Emporium,,1/28/15,4110,Saw Mill Run Blvd,PA,15227,40.367213,-79.984027,8,Convenience Store
32580,Janoski's Farm Market,Janoski's Farms Inc,6/17/84,1714,U.S. Route 30,PA,15026,40.559221,-80.437686,8,Convenience Store
2.00504E+11,Jeets Sunoco,Jeets Enterprise Inc,4/7/05,5457,Perry Hwy,PA,15229,40.513271,-80.030768,8,Convenience Store
2.00701E+11,Jimit Sunoco,Jimit Enterprises Inc,1/24/07,2904,5th Ave,PA,15131,40.358373,-79.831701,8,Convenience Store
2.01501E+11,Jodha Exxon,Jodha LLC,12/25/14,2200,Babcock Blvd,PA,15237,40.510927,-79.993984,8,Convenience Store
2.00401E+11,Kolos International Food,,1/20/04,114,East St / Mall Plaza,PA,15106,40.406902,-80.087614,8,Convenience Store
2.0071E+11,Kwik E Mart,,10/22/07,212,10th St,PA,15222,40.444199,-79.995537,8,Convenience Store
2.00411E+11,Large Sunoco,Americorporation,11/9/04,1344,Clairton Blvd,PA,15025,40.307385,-79.935894,8,Convenience Store
2.0151E+11,Marathon McKeesport,Shiv Oil Inc,10/16/15,710,5th Av,PA,15132,40.351443,-79.857948,8,Convenience Store
2.01507E+11,Maruti Convience,Maruti Convenience LLC,6/26/15,1100,Fawcett Av,PA,15131,40.35267,-79.825732,8,Convenience Store
2.01506E+11,Mary's & Rick's,,6/3/15,200,3rd St,PA,15106,40.403354,-80.089813,8,Convenience Store
49804,Murray's Exxon,,4/22/93,1100,Penn Ave,PA,15221,40.44133,-79.877715,8,Convenience Store
2.01205E+11,NeighBlvdrhood Dollar,NeighBlvdrhood Dollar,5/10/12,336,5th Av,PA,15132,40.351125,-79.863412,8,Convenience Store
2.01305E+11,New Eagle Mart,,5/16/13,300,6th Av,PA,15222,40.441932,-80.001828,8,Convenience Store
2.00408E+11,Noble Mart,Mufti & Khan,8/24/04,2100,Noble St,PA,15218,40.420651,-79.885465,8,Convenience Store
2.01406E+11,Oak Hill Market,Oak Hill Convenience Inc,5/22/14,504,Oak Highwayll Dr,PA,15219,40.44356,-79.969922,8,Convenience Store
55034,One Stop Mini Mart,One Stop Mini Mart,5/10/96,2333,Beechwood Blvd,PA,15217,40.432851,-79.914965,8,Convenience Store
57729,Phil's Citgo,,10/1/98,5340,Perry Hwy,PA,15229,40.509195,-80.029331,8,Convenience Store
2.01409E+11,Pitt Stop Express,,9/12/14,1980,Painters Run Rd,PA,15241,40.363956,-80.086425,8,Convenience Store
33405,Pittsburgh Asian Market / Ou's International Co,,9/1/81,707,Penn Ave,PA,15221,40.443558,-79.884328,8,Convenience Store
2.01606E+11,Quicky Mart,,6/21/16,668,WasHighwayngton Rd,PA,15228,40.380538,-80.04456,8,Convenience Store
2.0081E+11,RN Market,,10/17/08,256,S Highwayghland,PA,15206,40.457254,-79.925206,8,Convenience Store
2.01201E+11,Rte #286 Exxon,Laxmi Narayana Corp,1/9/12,2405,Golden Mile Highway,PA,15239,40.471469,-79.986604,8,Convenience Store
2.01108E+11,Safi Market,Safi Market LLC,8/29/11,1518,Mifflin St,PA,15120,40.403187,-79.90342,8,Convenience Store
2.00911E+11,SAI Sunoco,Global Contact LLC,10/30/09,3039,Freeport Rd,PA,15065,40.642437,-79.710438,8,Convenience Store
2.01503E+11,Sam Blvdk Korean Grocery,,3/23/15,1737,Penn Av,PA,15222,40.450358,-79.985099,8,Convenience Store
2.01509E+11,Sheetz #582,Sheetz Inc,9/9/15,4723,Wm Penn Highway,PA,15146,40.434846,-79.73331,8,Convenience Store
2.01402E+11,Shell North Versailles,MABA USA LLC,1/24/14,505,Lincoln Highway,PA,15137,40.450809,-80.199382,8,Convenience Store
2.01105E+11,Sheraden Mini Mart,Lathia Investments LLC,5/13/11,649,HighwayllsBlvdro St,PA,15204,40.431433,-79.861903,8,Convenience Store
52818,Shop N Go,DTL Corp,10/14/94,2226,Route 837,PA,15088,40.428336,-79.973438,8,Convenience Store
2.01603E+11,Speedway #2917,Speedway LLC,3/10/16,4363,Broadway Blvd,PA,15146,40.397285,-79.768965,8,Convenience Store
2.01508E+11,Stop n Shop,Miyan Associates LLC,4/15/15,1043,Hamil Rd,PA,15147,40.502514,-79.810806,8,Convenience Store
2.00206E+11,Sunoco,Adi-Maha Inc,6/18/02,600,Lysle Blvd,PA,15132,40.351981,-79.859689,8,Convenience Store
54317,Sunoco #7139,Sunoco Inc R&M,9/8/95,1020,Mt Royal Blvd,PA,15223,40.516752,-79.959009,8,Convenience Store
47157,Sunoco #7362,Sunoco Inc R&M,6/26/91,19090,Perry Hwy,PA,16046,40.674019,-80.098542,8,Convenience Store
40621,Sunoco #7430,Sunoco Inc R&M,3/20/86,113,Noble Ave,PA,15205,40.434829,-80.06553,8,Convenience Store
2.00501E+11,Sunoco A Plus Mini Market,SG II - Negley Ave LLC,1/14/05,123,N Negley Ave,PA,15206,40.464292,-79.930226,8,Convenience Store
2.01307E+11,Sushi with Gusto,Sushi with Gusto Inc,7/3/13,1551,WasHighwayngton Rd,PA,15228,40.355489,-80.050351,8,Convenience Store
2.01508E+11,Sweet Peas Convenience Store,Center Independent Oil Stores LLC,9/1/15,3937,Library Rd,PA,15234,40.363119,-80.027195,8,Convenience Store
51211,T-Blvdnes BP #02706,T-Blvdnes Inc,1/13/94,787,Wexford Bayne Rd,PA,15090,40.616571,-80.09131,8,Convenience Store
2.01012E+11,The Hot Spot,S & A Convience Inc,11/23/10,601,Monongahela Av,PA,15045,40.325977,-79.892457,8,Convenience Store
2.01007E+11,Uni-Mart,Sman Kass United Inc,7/26/10,3400,Versailles Av,PA,15132,40.344889,-79.837515,8,Convenience Store
